name,tokens/k,cost/$
31aaba443b9869e6e68c17125f8d7989cbd762fb38ae3a10e58f4759548a7745,1.305,0.008967
32b52e6d9366292f8664518b887d37b551d9fc911689e5c0e89d33a69f526e5d,3.318,0.023654
33a5b015af1ecd057057eada64b2f8fe3633b467bd43454f5278f76b94cd09ab,1.688,0.016203
33aaf68843e2936dfd3665e5cdb76a3d5372fff42fe66f4f2b35886066a0380e,13.911,0.08275
34e718e7c5644f147bec3af69f9fa789be1220e56a7bf827bf1c11afc9c3b0d0,3.957,0.042802
35a2d73b7a196673c4056e18c44729cf65806f55763aa6c026776f77509b3344,15.995,0.086597
37ad74048035735bda661eec2bf47e117c9819698c73546f4ab4eae78fe660ac,99.847,0.71141
37df0036b3a3d49c4d2d717ae8cff0576811b9a2726fa3b044af5934a48f48f9,2.072,0.013052
37df607966b7219faf58bb94e931b455b27e86c52c54878307c9a4c564067cf4,11.999,0.0884
39bbaf0755a1f571d03a1e77a578f59bc5a11635270ad758757abbe55bad8e30,2.923,0.028923
40f0b1743dd050949c942debbbaf87b3a070ab87d792550bf9320032ba214fbe,1.303,0.008179
41fc284f5c860580dd5fa32de705b66be97cb01c77c9d0aea3acbe38a5f8aa96,19.86,0.156521
42ad5682ca815e21b8c44e3863b202e47ad3bcda209c0bc8484922d6dbdf31d5,1.984,0.014826
42f9e10113f04d60ab45760862f8c371e9d1a3f5f6f3d9457ed5d1f299bc0a38,0.383,0.003593
42fd07c963c0e20be60de897497fb7783eb25f09480d9a03ea3d462182b08a74,3.012,0.019089
43b1d7cb1a978bd95a2c7e024401e960447883f6033e48bc4c1217dc9ba924cf,1.511,0.013706
44b6a440aa28893b3a9d20a9d3b729a3da38e27934db839b7b427331f814319d,2.441,0.021438
44c53c1111a6cd1c02567d9afa2465ba6eb3c01ed485663586af1d442f77d493,2.951,0.027238
44def887eaf39b6e4a76daa8c59ecb34baa30035825cf5737690d8fc8379ec94,1.925,0.021242
44f4cc87b43e3add1d1b9b75f1e4e3b5b0db549349c0f554ff28eaa0312c96ab,10.952,0.079637
45d82ff82b57f8403e6d0167f2e8c91f682f43dead77b74870a01a56a78a0652,3.689,0.030058
45de04fff6b76075a2bf0c2354e4d8951b390cbe72d0e5c53b162228d6489b9a,7.028,0.053496
