crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
,,sub_4006DE,['WriteFile'],sub_40C01C,"['FindFirstFile', 'FindNextFile']",sub_4006DE,['CreateFile'],sub_40707C,['password']
,,sub_40E19E,['WriteFile'],,,sub_40812C,['CreateFile'],sub_40A2A8,['Snapshot']
,,sub_400335,['DeleteFile'],,,sub_40A432,['CreateFile'],,
,,,,,,sub_40EC53,['ReadFile'],,
