File,CryptAcquireContext,BCryptImportKey,BCryptImportKeyPair,CryptDeriveKey,CryptDestroyKey,CryptExportKey,CryptGenKey,CryptImportKey,CryptImportPublicKeyInfo,BCryptEncrypt,CryptEncrypt,ReadFile,OpenFile,CreateFile,DeleteFile,MoveFile,WriteFile,FindFirstFile,FindNextFile
002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04ffb8d60a17d6405a9408e73e9cabcdaf5e396f7c4784874dc49c353e97315b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
05c73c13c3635fab5c7daa5bcae4ea3a21ec0bd620291762cd13c03cd786b438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08bf892562a748f1582b00283d8f15ec6f9a2f252c7ba95c2b55fbc60abfbd49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0a464a3765ffc0c23cf47345bf1185426af8e6b5711e015ca18027afcac2f2e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a8deb24eef193e13c691190758c349776eab1cd65fba7b5dae77c7ee9fcc906,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
0b65c9b63092c96fc737ef39a1f05e437d5bbe57f0ca2bc634a14a34a92ebcb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b832ebbd0d324e28292d883ad532fd64a344c82360cf7fa052b4028559b4427,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
0c1134c20c7f2a20eeda30f998c5e70336e56fa1fde05434028d97f3eeb31c33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c8af4bbf3e29c4ab7dd8372725a931985b669d15b82615ab05838ed348bf558,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c9baed0badb2431a9b173609d3990ccbba7cba4455ba0e8ebe6267d8b4ae3ef,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
0d23b6f46e848a65911518e6658488070a7462cd605cfc3737a6bb1ef71cceac,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0d8d47b0b0bf9291e01f426782ba721d5be30ea9b2547f315c7ca48c367b2aa9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0db49b91804cdc30b301e0cb42ac19b1db4d13467bbd66444abfcdac2da4f6b6,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0
0dfd9b9733913d7e1fc1ca19798b9ed57c2d4138ae5fa1ad9c6e12f1dee7062c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e3de1806def011049d011b07a3a012cecce53cac8ff49f52ecf6db96aa0dcdc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e69c9e8e2447ea2c355e3daa30c1697427fe40748a0daabf2d996ab254e89cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e73886d15f788471581cbf3864703206fd96eb79e4683ffa332463507fdcda4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fbcedf08d9e262137afba702687b2de15822149e4a282b9249907134e5ef151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fbe33fb688bc8b21db405ffc08f696f5eea215264952fb41027be527da384e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fe87602f6f2a6dd5acf209eea81ec0555fe1e02d6f781299724238b4cb2e2c1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0ff0a7429ebd5f19eac9fef4504d12c2b2b66a2b060de1c25d6e8fd08262f6d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a6955d26907b3c83f10ede259494ff2d68ab210e1090cb6806e05d1dca36869,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
1a6b0ccc16974c3edd98687ece68beb45b75b8684719e764fd16b3c296acef39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1aa177b92c99b9458b270907d65d5687af48385fbbf42c3aef9b69d61d284721,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1accf6605bf18e60fb0bf11087a21417eddfb26e16d396dbca7658ec4d6e7c88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b399f61e57266427a5fceb4f3df6a337304832e24579c43385b59cfd660e068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b67441f080adf23da22736c557813d3bb459c915a1b84d8253b8e9599df2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1b8342c0048e13b323224c48caa9aec2952f3a93ed732c85f160916475910675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c2fba06cc7e47dceb2a2670f6fcfbec90a24d053b9bb3715698202afdb03b97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c344888c75ef573d259b23a96f8e1869094ebab109ede37cb6a9d0cdc8d186e,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1c639fbba837b57f28691e7f210a034dd1b55380a13649a64e47be55bb8308a0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1c7c07802af60cddfbe62ce037135297417517f3751729bd02ce65d50f4e715d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d083467cb9fbd7d2b21fcd4f8f9cb0c36718d0a327052313f46a2a83bd715e2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1d2b8e3bbfcd7546b402c2f379e40d850fd4eceaf20c45fdbfcba0b859e0a7fb,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0
1d2d450742e4ed4fb8486fd7e3892828dd97bbf63f0e23b0975725bdc18ce766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d720ca43b54420dc297a0c40a4541017feb6bdc10765197867818d1810d21bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1d9284fd7818d17f4aa4d07b6497735ed8522f9925b348a3fa5ba96a976a5927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1e171264f1310680b03bb9122633db660378bc411b28ae25c2bfab9f0f06da51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e83c1a2f6f2b7080c7fefccff1fde4bb14aa8a57e851817c92a6f1c946ca17a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1f49ba3bc8f2f78a2d683c02b34023b61b3bf3464fc15b629dd30b184e49306b,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1f7a2d419df3b95ade7f400446abeefaf3c872e8e6033a7e6ac413b17addbaf4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1f81d3b756ec1430f476a5ae7af7b360b4acd923d4baceb91be49ab6515459fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fa3bb9680b457aa11bfed328171172a477813b281f78b43243f9dc3c6afdeba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fcbe5d51360bee55f55c791a95df8c61f73e117bda89b9439d74df5cee7aa71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fe78298f8fa9d9da3fab32c57975101ea3ff5dcebeedc2cde5bea6c8df9a7ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a053f32b1d48539e3e2807f86754be87ce95b08378467e66cab2bac0e67a825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a1c7574a5c42eb8c9348d9dba505ce49f2c88231d7ea6edd3715a39a5decd94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a1d8692f445791dc9dc9700e11f2ce68fce9ac5ad2abd56aa0f41f1047b38f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a922ebe7edb08480baa1721ce1b5185fb5af7f64ec0f128d6a7a37711784815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2acf8f6f068976f75dd70e6195f8a94c3e623a0137c99d78f9055a5dbbbf75bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2adbc2a2227756286fb140ca5877a00cee7fedc0d4ae3af098d9b2530c3648f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b672dd0e086dd4196087712ba0e34af205f518231545646c81d01411fe9bda8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b70c56855937a6f0ff82113f8d934641ad9e829b976a4435c805f42b349bdd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c0537b91ea3df61f7dd353ecf98d80201f2276c1e9c6135b031b0f4cb14e163,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
2c1049909ea2288527d4ed08001c8056f4bf9c38336a6a2955c33e8de95e9973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c8b6b0497ac12ab7641342e07eca16b661b31e81444798799d4b186306a9a77,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2d09798210455d443e62351b7b9f02fe7412930623a6bcf6b009c94da3f0fb94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d901bf0cb31995d596329a8406471c6e82671811c0d16255cfa02154e6dd90b,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2d9861d0185e05d493c8d5bbae368263f15c0fa66fc7e70c9eae8bba1b43be26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
2db10930c59a7e3cc26be1e8bae834a875221072f9571ccd1d8e3fd6b9a1b52e,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
2de6f802400d6673a5a6e175ee47b2537950f70e847041b9bbd27b5931cc1637,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
2debeb3bd8ee05e342aec360134d65f6f3e637145ebc001f243e21e58d8503f2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
2df7b0d6ed9d2ad1dba3a9ba6b4d44bc4d7667b25b78b02b81cb0fa5b04fb9dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2e2a40d004346e95cdb0a91dcd881be1f2ee6d9eef16f239c40f6b4e2383c656,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
2e7b459f7c57f287f59f382f5d37d29b4c7889c82ea012bf3837b0b732de3c49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2edf7c8fd59cd5fcd19fa528f60cbd6ddb9a8076ae0280b11d8ea8eaf7d39958,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2f031a1752f7067fb9f483ae0ac5f3036c9b66cc4af40e6ae609c0aba7c886d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f319ab076f8694f6966beb2a353d98688438d4dbb44f5b669cf562409437b47,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
3a001b8c4d0e52362bba32d326158c4fbdbf48cefd49e5b1ac23d77bca98093f,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
3a26e84b22e7665a55f0857da23a05e3ef3ed430242b6f7635909981cdbeba94,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
3a44fa455ada6aede5098355efc22825ac336a3faa18d7695054fcf3a7bbffc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3aeec86e232b09526dc62362f3d37c010bdb962eb31e5a18f2e781aa25423033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3b120c2b06afd93fc3c84a98c497afff4d93e64168ad809498f86568600b38f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b812075fee45f45ae2d9801c25eb4cadef412b703a1df9c29060bad61fbb039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bc5906d625e95dfb4744c2baa1e1a5d1b3f73ee663cc149f02ef7eaf23986c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3be77cde3fe49040e294b6e4b4fceb284fcfb65279fcdcad9dc087d2d4406058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ca96b622f4af8cfdf1d65b9c1c2ee118bc924753ad95d3376b97c6f08153a54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3ccc132059602cbf7dc3acf61a7f83d443a8379a784cc660575858bdb455e6cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3cccf40d984007ee8b64fdb0216efa50e850306531dd3f4ac7710a6dc155351b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ce6f5e9aee5a3f921d1a21144ae5b7b557dbfc7999f282adcc2fc522fc787bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3cefaa966d5e204fe6601160e7ba4d27910437bd1e83b8e0e9f2c4c3de210227,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0
3d1ac5f16b486805bfea6e9152cc60251b7e8f4a8580187afef978347e523f46,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
3d8b868359f623a9441e336d32c360352bf819114052599d3c85ab69e60d1de9,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0
3df47f4ebe158f4394bd3e0c2052262e92192998c0637c259629b8e75fe85203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e71f762320a9af8159d51e374a64ebd4916a92e3de3be8dc1e22d86410982c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e917376199b13523dfb4fcc445583d9df0606ad0a6a02b111d8a3ee6b71e117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e95000db27b940bd46d62b8117ea9f3bd4ea9ee203fc54d1244deb429e6785f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3f1bfc4be00fa0c07778a986e81bf21453ba45f76fecd261d7e88e7db76a15a1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
3f3fe9ecad7f30fc80cdfb678d7ca27a30d0575a73818746e98be9170d3be348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3fb239d7ac7719328c58a1eb3ce2abd900949b6f6e5d5db4f95852325bf67473,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4a36f7ca6692cc55714e1c22ddae1a9ab19227db467c064922b9bdb78859ab02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a43f1eef4605f99278e609a8d372bc2386fb8f63ba6999e3ff5c3b80142a6f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a495b476cc33e6be712a77184626725ec10e3f31b89d3c53010bd620bcd0cbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ac565360c199789ecfe2405a2093a8060e6c2a3478409be627aa7cba6f48951,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
4af3efae81865be6f458e37dfe10e31617f2151b51df89cb699aaf6ee06507d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b4b883c0dc34f9d796e32532c3197090d09a4ac5094989a870e0370a8bd76d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4b86fc33172d0d3081164379dbbca8333f5f3eb6c75c7c82281332fdabb5ef8d,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
4bbd4db544dc9fc6600c983bba42b07f3e9ada5501f2ec0d011c04c065f3eb41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c33d7c85ae6b19144edea55df4663fb476aaf102d86d812e624f22ae9c81213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c5a4bfbd6de5221c044b95c96fabc094fd854508471f9d7cb3890853ea318c3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
4c6107c9c786e2de5eadd721580372f6028d66daa3d4d2ed9489106ac6d1560e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c77b3ecfe7ff1be8b05f7bc58d2360531c67997c3fae399f6f24132cb05065a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4cde1735b0bd09f0ad3ca84856ac023f212bc5732dcb19f8ccb1aacb0f75bb61,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
4d42711b63f90ff9af3d6c8e4edb3ff08cab6fe5131d9a43f4d10d1ca51f7378,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
4d9c8986794f31912c44836959dd291fb22d21f12e0103a535cff6e7325a59e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4dde54cfc600dbd9a610645d197a632e064115ffaa3a1b595c3a23036e501678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4df54b01e012216c2c376c7f4a2bee56c0dfead5bd9324e69d774274151c9a1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e3b3bf5ee097fdbf0b595a37261eb70683a3c59e15e6aa616e313a7134a48ea,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
4e526c15684a2c7e327d1a5e54d0fc3d227bd6fd790cc5f495111a09c0bf74de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e5aac1267b4dd6d72ba7903928e3101fe0088af21611cfe6ebae5919ada75ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e9a86ffd569063308627ebeb576acdcdbf76b03c68aac783c0ff64eed7354bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ea275757f53c5793c27078748cc15c076565b121f3dfdb12db93981ea76ed24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4ea6fb35bfa0deace0e149557d73a99ee858029e33bbbcaf5cdf5aefb21ffb80,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4ec1e44407cc7874b875e2850962e0583a97486b29578cdd4bcc21d7e1d76004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4eca420c432726b177f36ef2e26165cd97c690c872cb5f3f19415cb7473e8ada,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
4ef9eb58224457492f674fb550761cd13b7e6031186b801577194a05719d4f43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4efd6c2d5692fd45ca167fce0b8a07f87e89862a6b4e2f04ae49d4113539440f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f6b4aee23bbfae817a548ef9d8697c721107bec33b303b22ebea36fd65c663a,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0
5a071e20a23c845332e288fe02f2601518c8f1c1de1871d24a0530b09841157f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a0f4fa2c578675590ac317e392f78abfc19577a7f8c964e708a1ad436e58a37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a63c01f80e137c588117dec2a9ae121d27b8a57ec40ab77e7e5a94a75be2db2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
5a696ece3992cce14c8770ae03b42ddd2a183b53e62a6808593236dbb71b6d15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
5b231372f1e52b49526215deebcfc997b9dd74d77cc35d9cf78590480e51b1a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b3bb26ce3cc45e3f9317075e2018d429ca2d0203bd6c41eda16da34bc0b8ccd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5c1af46c7300e87a73dacf6cf41ce397e3f05df6bd9c7e227b4ac59f85769160,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5d2496409bc45e1e74efbc0c0802af37b26f077beb91ae8ed55ffb0cfe4bdc79,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
5d2e1c132051f3b80a0e39b5d4efe255c1e339614d2861b1e017ff1574610dac,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0
5d62d79f6555d7a7edaf3b175312b326df779f9ae8c893e2182e4159f44c9d34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5dcf031a4bed052dda60d8229b23a9db53b012868f1012438d40032835ac34d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5dd566d349a0718dcc514094de7384c369f66cb593fdcc395d1df0248d59848f,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
5ddb5815973d58798ba373011bf5a5903bfd9b270c4b648032aa7d19153a8f56,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
5e2f6ccab90816da98344ffa18c6e0893aba6bff018e6893fae38b126306b283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e3f8b7e643865d49cd9494de2b6fe96b46f9644b034e1f78857ea12a2b10a0c,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
5e405415dc1a7d3c56e7e8d8b9b744ac3c2a275ee5f4b09bc09d63d6f7546e28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e7a38f0b3590df5e5476eee02ca0bfe015beedfc1663a85d72d888604fefcc3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
5e815f1124d3279bf4d593ecdf73f4d8e7cabc26e7dbf1148a5f3ed529531827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e83b73dc8eb0cf1ec380e703432609137fb07779a662a32c8f9c85087780a4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e87e24e81c8389594353639f3fe59b2ac4d5d1360a316f41c7b4edb7bb56f47,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
5ede50d16c17c209d3c3da477095cfe3d21ecc4d22720c2f8c98540b41bcb2f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f435219d06e44d63e9d5b7a234afe3ef384c94fc997b9cbd2f051742d69c790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5fd41a27b02e9e2c90fd4d98aeae32d41cd24d5efe80ec918c7ad7cc2514386f,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
5fe5d832e53fe8226bba7150afe1f8b70775d7de3b354b638bf49809b120a1be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5fea3241e2e2c3232f3dafa3bf72c9ba0e88df2781f2a742d4369813f99ce952,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
6a60926626497bca4820e7841e257c5db09764c030e2f57b13124b83cd326329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6a79c28a86d7c88e8179cdaba8d357bbb9dab05bea990c026b67a594c2fc3372,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0
