crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_35E1C150,"['Crypt', 'CryptAcquireContext']",sub_35E1C150,['WriteFile'],sub_35EE16B0,"['FindFirstFile', 'FindNextFile']",sub_35E1C150,['CreateFile'],,
,,sub_358CDE66,['WriteFile'],sub_350F3430,"['FindFirstFile', 'FindNextFile']",sub_35F81DEE,['ReadFile'],,
